project_type,land_area,affected_families,documentation_completion,compensation_completion,legal_disputes,approval_delay_days,rr_completion,possession_completion,stakeholder_response_days,historical_delay_rate,delayed,actual_delay_days
Industrial Corridor,308.9,347,91.4,84.0,0,30,46.8,39.1,10,12.7,0,0
Railway,281.6,208,86.7,78.5,1,28,65.4,56.9,17,31.4,0,0
Urban Infrastructure,559.7,491,69.6,87.8,0,3,67.2,78.7,7,7.5,0,0
Irrigation,1343.5,862,68.9,70.9,5,27,48.8,34.5,12,12.0,1,114
Highway,365.5,459,67.2,60.2,2,53,52.6,35.3,11,18.2,0,0
Urban Infrastructure,867.8,1152,82.9,79.9,5,15,67.3,68.2,16,42.6,1,402
Industrial Corridor,215.8,211,61.6,58.2,3,34,42.6,8.7,4,13.9,1,46
Industrial Corridor,91.1,121,99.6,75.1,0,8,50.9,36.8,9,29.7,0,0
Highway,166.6,447,60.1,22.0,2,23,73.7,79.8,9,3.3,1,155
Railway,225.7,251,75.4,71.8,0,11,62.5,29.2,9,26.3,0,0
Railway,914.4,642,68.3,78.8,3,13,53.5,52.3,5,45.1,1,49
Urban Infrastructure,293.3,261,64.8,60.1,2,58,44.9,33.2,7,31.5,0,0
Irrigation,573.3,808,100.0,89.3,4,20,42.7,41.0,14,3.2,0,0
Industrial Corridor,202.2,112,65.0,57.7,1,23,60.4,42.0,4,26.5,0,0
Railway,183.5,96,67.1,50.6,1,35,100.0,98.2,10,20.9,0,0
Highway,64.9,57,61.4,22.4,0,22,74.3,71.6,6,39.5,1,90
Irrigation,895.8,622,72.7,88.7,2,33,36.3,29.7,9,24.9,1,75
Highway,699.1,270,70.4,69.5,0,36,77.1,75.6,6,10.2,0,0
Industrial Corridor,331.3,265,54.1,24.5,2,12,47.8,22.7,14,24.5,0,0
Irrigation,235.9,372,65.2,64.5,2,7,62.9,72.8,3,18.3,0,0
Industrial Corridor,301.4,289,81.8,62.7,3,22,51.2,42.8,9,2.2,1,44
Railway,87.7,29,88.4,71.6,0,13,100.0,89.7,14,24.1,0,0
Urban Infrastructure,393.3,412,72.4,47.1,3,38,40.3,33.2,9,26.0,1,89
Urban Infrastructure,662.3,403,72.9,38.1,1,14,69.3,45.8,4,30.2,1,36
Industrial Corridor,683.9,1496,66.2,53.5,6,53,49.3,62.9,4,37.2,1,55
Highway,67.7,68,64.0,80.4,0,54,77.8,60.3,9,22.9,0,0
Railway,569.9,279,57.3,59.1,1,50,68.9,78.6,2,9.5,0,0
Highway,88.3,97,47.1,8.5,0,31,88.1,86.7,11,16.8,1,24
Highway,30.7,26,60.8,72.6,0,11,77.4,88.6,3,25.8,0,0
Irrigation,584.0,870,86.5,71.5,4,15,49.1,45.1,3,39.4,1,142
Industrial Corridor,189.7,99,65.2,92.4,0,31,100.0,99.7,19,26.0,0,0
Urban Infrastructure,531.0,530,66.5,77.4,4,18,74.1,40.5,17,24.5,1,116
Railway,500.1,117,66.2,45.8,0,17,52.0,39.4,6,23.4,0,0
Railway,458.7,357,91.9,83.4,4,51,67.1,51.5,15,25.9,1,15
Railway,298.7,97,57.1,54.4,0,5,75.6,83.2,4,47.0,0,0
Highway,97.8,80,76.4,79.8,2,32,74.9,54.8,11,25.1,0,0
Highway,226.1,210,70.9,90.9,0,29,72.9,39.3,16,23.1,1,82
Railway,691.2,675,73.1,55.4,1,23,82.3,60.3,5,26.4,0,0
Highway,540.1,283,75.9,71.9,1,8,80.4,91.1,3,18.6,0,0
Irrigation,235.2,187,72.9,86.2,2,16,46.0,44.0,8,8.8,0,0
Railway,233.0,323,84.7,76.3,1,23,100.0,89.4,5,6.9,0,0
Industrial Corridor,431.6,796,71.5,55.4,0,7,100.0,99.7,5,18.0,0,0
Industrial Corridor,314.4,255,99.9,94.7,0,44,79.0,32.0,3,39.0,0,0
Highway,244.5,344,72.7,63.1,1,21,63.8,62.0,1,38.8,0,0
Industrial Corridor,407.4,167,44.7,36.2,0,19,64.1,55.8,5,13.7,1,130
Industrial Corridor,398.2,230,82.2,84.1,2,34,56.5,56.5,6,24.3,0,0
Railway,170.4,147,78.3,69.5,0,59,59.1,46.6,4,27.4,1,15
Highway,359.7,251,72.5,54.2,2,15,19.3,0.0,3,18.0,0,0
Irrigation,381.8,249,67.8,45.3,1,6,93.6,82.9,13,40.4,0,0
Highway,282.6,374,38.2,19.1,2,64,86.5,80.8,9,34.4,1,15
Highway,155.8,57,40.9,42.4,0,25,29.5,36.6,3,30.0,1,65
Highway,220.8,86,98.4,81.5,2,81,80.8,53.7,8,26.8,0,0
Industrial Corridor,130.6,38,62.6,48.1,2,53,62.8,56.0,4,8.8,1,64
Irrigation,366.5,322,87.4,89.3,1,10,59.0,52.8,12,40.9,0,0
Industrial Corridor,68.1,41,46.4,44.9,0,18,72.9,99.0,4,32.4,0,0
Industrial Corridor,737.3,922,55.3,37.8,1,1,28.1,21.0,14,30.5,1,198
Railway,642.3,536,82.9,55.6,0,11,62.8,59.8,13,17.9,0,0
Irrigation,388.1,200,70.4,87.8,0,5,64.6,83.0,10,18.8,1,23
Highway,519.4,241,80.6,49.6,5,12,64.6,40.8,4,31.4,1,101
Highway,496.7,53,71.8,47.5,1,3,35.7,34.7,6,38.1,1,15
Irrigation,317.9,213,68.7,57.9,4,9,71.9,34.5,7,45.0,0,0
Railway,249.6,82,61.1,56.5,1,12,84.2,54.0,8,17.9,0,0
Irrigation,228.9,307,52.9,39.4,0,19,71.1,72.9,14,24.3,1,89
Industrial Corridor,754.7,444,94.4,95.4,2,4,58.4,28.9,6,3.0,0,0
Irrigation,151.2,38,97.1,91.6,1,46,100.0,66.8,12,2.0,0,0
Irrigation,153.7,230,55.4,68.1,0,11,44.5,43.9,3,31.8,0,0
Irrigation,549.8,372,54.3,70.7,1,26,78.5,85.0,5,16.6,0,0
Highway,516.1,539,66.4,25.7,0,11,67.9,91.2,4,4.3,0,0
Highway,238.8,124,77.4,68.5,0,20,100.0,85.3,12,13.2,0,0
Railway,416.8,636,69.1,58.2,2,19,70.7,76.3,16,29.8,0,0
Highway,454.3,193,80.0,72.4,0,47,75.0,59.8,5,30.2,0,0
Railway,93.4,57,71.2,74.8,0,16,73.1,72.6,4,8.0,0,0
Urban Infrastructure,669.2,130,70.2,66.5,0,17,41.8,44.5,6,39.6,0,0
Highway,454.2,683,100.0,90.7,2,7,45.6,45.0,4,18.3,0,0
Highway,393.1,188,63.6,58.4,2,3,57.5,68.0,5,29.0,0,0
Highway,456.6,407,98.2,100.0,4,24,82.1,81.5,6,26.4,1,91
Highway,361.2,350,95.1,80.4,2,25,67.7,69.7,6,25.9,0,0
Irrigation,270.9,370,80.1,69.5,1,23,58.9,50.1,2,15.7,0,0
Irrigation,319.9,273,41.2,27.7,2,39,90.4,79.8,5,25.7,1,58
Industrial Corridor,85.6,60,72.5,54.6,0,19,23.4,30.5,18,29.0,1,160
Irrigation,947.4,1218,63.8,58.2,2,14,37.1,11.6,3,23.8,1,73
